well_plate,nitrate_concentration,population,cells_per_ml,file_name,path,well,plate,date_time,cell_size,plate_key,acclimation_level,n,nitrate_level,multitron,slot,start_time,days
B02_21,100,15,318617.7000654366,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate21_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,21,2019-06-05T16:33:28Z,54.5,3,HP,P,7,4,17,2019-06-05T13:09:48Z,0.1414351851851852
C02_21,100,10,319174.23753279983,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate21_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,21,2019-06-05T16:33:28Z,56.1,3,HP,P,7,4,17,2019-06-05T13:09:48Z,0.1414351851851852
D02_21,100,29,260459.5347259814,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate21_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,21,2019-06-05T16:33:28Z,62.4,3,HP,P,7,4,17,2019-06-05T13:09:48Z,0.1414351851851852
F02_21,100,15,271312.01533956395,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate21_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,21,2019-06-05T16:33:28Z,101,3,HP,P,7,4,17,2019-06-05T13:09:48Z,0.1414351851851852
B02_22,400,25,1433362.2471939423,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate22_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,22,2019-06-05T15:46:35Z,66.7,1,HP,P,8,6,17,2019-06-05T15:46:35Z,0
C02_22,400,6,380949.89641011594,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate22_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,22,2019-06-05T15:46:35Z,47.2,1,HP,P,8,6,17,2019-06-05T15:46:35Z,0
D02_22,400,24,224562.86808105445,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate22_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,22,2019-06-05T15:46:35Z,52.4,1,HP,P,8,6,17,2019-06-05T15:46:35Z,0
E02_22,400,1,154439.14719329024,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate22_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,22,2019-06-05T15:46:35Z,52.9,1,HP,P,8,6,17,2019-06-05T15:46:35Z,0
F02_22,400,25,155273.95339433505,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate22_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,22,2019-06-05T15:46:35Z,48.7,1,HP,P,8,6,17,2019-06-05T15:46:35Z,0
G02_22,400,11,74019.48315930668,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate22_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,22,2019-06-05T15:46:35Z,46.9,1,HP,P,8,6,17,2019-06-05T15:46:35Z,0
B02_23,400,28,176422.37715413695,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate23_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,23,2019-06-05T16:09:56Z,46.6,2,HP,P,8,6,8,2019-06-05T15:46:35Z,0.016215277777777776
C02_23,400,21,347001.1109009602,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate23_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,23,2019-06-05T16:09:56Z,46.6,2,HP,P,8,6,8,2019-06-05T15:46:35Z,0.016215277777777776
D02_23,400,18,222893.25567896484,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate23_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,D02,23,2019-06-05T16:09:56Z,50.7,2,HP,P,8,6,8,2019-06-05T15:46:35Z,0.016215277777777776
E02_23,400,26,170578.73374682327,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate23_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,E02,23,2019-06-05T16:09:56Z,56.1,2,HP,P,8,6,8,2019-06-05T15:46:35Z,0.016215277777777776
F02_23,400,28,201188.2944517997,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate23_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,F02,23,2019-06-05T16:09:56Z,47.7,2,HP,P,8,6,8,2019-06-05T15:46:35Z,0.016215277777777776
G02_23,400,27,121881.70535254257,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate23_test_190605_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,G02,23,2019-06-05T16:09:56Z,45.8,2,HP,P,8,6,8,2019-06-05T15:46:35Z,0.016215277777777776
B02_24,400,15,481961.4467365382,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate24_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,B02,24,2019-06-06T10:23:35Z,43.9,3,HP,P,8,6,1,2019-06-05T15:46:35Z,0.7756944444444445
C02_24,400,10,198683.87584866528,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_plate24_test_190606_,imaging/nitrate-gen5-outputs/Rstar_BF_nitrate_,C02,24,2019-06-06T10:23:35Z,40.6,3,HP,P,8,6,1,2019-06-05T15:46:35Z,0.7756944444444445
